pca,whiten,mcs,ms,method,n_clusters,noise_pct,ARI_core,ARI_reassign,NMI,top1,k5
32,1,50,15,eom,0,100.0,0.0,0.0,0.0,0.9293,0.9069
32,1,75,3,eom,2,35.73,0.0685,0.0965,0.1186,0.9293,0.9069
32,1,75,5,eom,0,100.0,0.0,0.0,0.0,0.9293,0.9069
32,1,75,10,eom,0,100.0,0.0,0.0,0.0,0.9293,0.9069
32,1,75,15,eom,0,100.0,0.0,0.0,0.0,0.9293,0.9069
32,1,10,3,leaf,21,63.8,0.2328,0.157,0.4956,0.9293,0.9069
32,1,10,5,leaf,14,75.2,0.2795,0.201,0.5425,0.9293,0.9069
32,1,10,10,leaf,12,78.4,0.2831,0.2119,0.5415,0.9293,0.9069
32,1,10,15,leaf,7,85.4,0.2935,0.1248,0.5243,0.9293,0.9069
32,1,15,3,leaf,11,69.8,0.3155,0.2187,0.562,0.9293,0.9069
32,1,15,5,leaf,10,76.73,0.3364,0.2222,0.5846,0.9293,0.9069
32,1,15,10,leaf,7,79.53,0.396,0.2518,0.6264,0.9293,0.9069
32,1,15,15,leaf,7,85.4,0.2935,0.1248,0.5243,0.9293,0.9069
32,1,20,3,leaf,9,72.13,0.3131,0.2308,0.5554,0.9293,0.9069
32,1,20,5,leaf,8,78.8,0.3965,0.2591,0.6206,0.9293,0.9069
32,1,20,10,leaf,6,80.8,0.3639,0.1587,0.5621,0.9293,0.9069
32,1,20,15,leaf,6,86.53,0.3044,0.1203,0.5371,0.9293,0.9069
32,1,30,3,leaf,8,70.87,0.3301,0.2437,0.5649,0.9293,0.9069
32,1,30,5,leaf,5,83.67,0.3767,0.1585,0.5764,0.9293,0.9069
32,1,30,10,leaf,4,83.93,0.4839,0.1533,0.6495,0.9293,0.9069
32,1,30,15,leaf,4,89.33,0.494,0.1345,0.6591,0.9293,0.9069
32,1,40,3,leaf,5,77.87,0.515,0.2893,0.6641,0.9293,0.9069
32,1,40,5,leaf,4,85.93,0.495,0.1613,0.6409,0.9293,0.9069
32,1,40,10,leaf,4,83.93,0.4839,0.1533,0.6495,0.9293,0.9069
32,1,40,15,leaf,2,93.93,0.006,0.0008,0.0244,0.9293,0.9069
32,1,50,3,leaf,4,80.53,0.4668,0.1641,0.6065,0.9293,0.9069
32,1,50,5,leaf,2,47.13,0.083,0.1338,0.1268,0.9293,0.9069
32,1,50,10,leaf,2,89.93,-0.0072,0.0043,0.0192,0.9293,0.9069
32,1,50,15,leaf,0,100.0,0.0,0.0,0.0,0.9293,0.9069
32,1,75,3,leaf,2,35.73,0.0685,0.0965,0.1186,0.9293,0.9069
32,1,75,5,leaf,0,100.0,0.0,0.0,0.0,0.9293,0.9069
32,1,75,10,leaf,0,100.0,0.0,0.0,0.0,0.9293,0.9069
32,1,75,15,leaf,0,100.0,0.0,0.0,0.0,0.9293,0.9069
64,0,10,3,eom,4,27.07,0.3551,0.2504,0.3445,0.938,0.9131
64,0,10,5,eom,3,33.27,0.3701,0.251,0.3419,0.938,0.9131
64,0,10,10,eom,3,36.13,0.3794,0.2487,0.343,0.938,0.9131
64,0,10,15,eom,2,26.4,0.3798,0.2585,0.3643,0.938,0.9131
64,0,15,3,eom,2,24.67,0.3632,0.2585,0.3536,0.938,0.9131
64,0,15,5,eom,2,25.4,0.3712,0.2577,0.3541,0.938,0.9131
64,0,15,10,eom,2,25.07,0.3815,0.2638,0.3685,0.938,0.9131
64,0,15,15,eom,2,26.4,0.3798,0.2585,0.3643,0.938,0.9131
64,0,20,3,eom,2,24.67,0.3632,0.2585,0.3536,0.938,0.9131
64,0,20,5,eom,2,25.4,0.3712,0.2577,0.3541,0.938,0.9131
64,0,20,10,eom,2,25.07,0.3815,0.2638,0.3685,0.938,0.9131
64,0,20,15,eom,2,26.4,0.3798,0.2585,0.3643,0.938,0.9131
64,0,30,3,eom,2,24.67,0.3632,0.2585,0.3536,0.938,0.9131
64,0,30,5,eom,2,25.4,0.3712,0.2577,0.3541,0.938,0.9131
64,0,30,10,eom,2,25.07,0.3815,0.2638,0.3685,0.938,0.9131
64,0,30,15,eom,2,26.4,0.3798,0.2585,0.3643,0.938,0.9131
64,0,40,3,eom,2,24.67,0.3632,0.2585,0.3536,0.938,0.9131
64,0,40,5,eom,2,25.4,0.3712,0.2577,0.3541,0.938,0.9131
64,0,40,10,eom,2,25.07,0.3815,0.2638,0.3685,0.938,0.9131
64,0,40,15,eom,2,26.4,0.3798,0.2585,0.3643,0.938,0.9131
64,0,50,3,eom,2,24.67,0.3632,0.2585,0.3536,0.938,0.9131
64,0,50,5,eom,2,25.4,0.3712,0.2577,0.3541,0.938,0.9131
64,0,50,10,eom,2,25.07,0.3815,0.2638,0.3685,0.938,0.9131
64,0,50,15,eom,2,26.4,0.3798,0.2585,0.3643,0.938,0.9131
64,0,75,3,eom,2,24.67,0.3632,0.2585,0.3536,0.938,0.9131
64,0,75,5,eom,2,25.4,0.3712,0.2577,0.3541,0.938,0.9131
64,0,75,10,eom,2,25.07,0.3815,0.2638,0.3685,0.938,0.9131
64,0,75,15,eom,2,26.4,0.3798,0.2585,0.3643,0.938,0.9131
64,0,10,3,leaf,10,85.13,0.4559,0.2016,0.6532,0.938,0.9131
64,0,10,5,leaf,7,86.2,0.6565,0.2933,0.7053,0.938,0.9131
64,0,10,10,leaf,4,74.0,0.2806,0.2074,0.4717,0.938,0.9131
64,0,10,15,leaf,3,64.2,0.2361,0.2219,0.4319,0.938,0.9131
64,0,15,3,leaf,4,83.0,0.7667,0.343,0.8002,0.938,0.9131
64,0,15,5,leaf,4,87.4,0.807,0.3465,0.82,0.938,0.9131
64,0,15,10,leaf,3,62.93,0.2274,0.2246,0.4221,0.938,0.9131
64,0,15,15,leaf,3,64.2,0.2361,0.2219,0.4319,0.938,0.9131
64,0,20,3,leaf,4,83.0,0.7667,0.343,0.8002,0.938,0.9131
64,0,20,5,leaf,4,87.4,0.807,0.3465,0.82,0.938,0.9131
64,0,20,10,leaf,2,25.07,0.3815,0.2638,0.3685,0.938,0.9131
64,0,20,15,leaf,2,26.4,0.3798,0.2585,0.3643,0.938,0.9131
64,0,30,3,leaf,4,83.0,0.7667,0.343,0.8002,0.938,0.9131
64,0,30,5,leaf,2,25.4,0.3712,0.2577,0.3541,0.938,0.9131
64,0,30,10,leaf,2,25.07,0.3815,0.2638,0.3685,0.938,0.9131
64,0,30,15,leaf,2,26.4,0.3798,0.2585,0.3643,0.938,0.9131
64,0,40,3,leaf,2,24.67,0.3632,0.2585,0.3536,0.938,0.9131
64,0,40,5,leaf,2,25.4,0.3712,0.2577,0.3541,0.938,0.9131
64,0,40,10,leaf,2,25.07,0.3815,0.2638,0.3685,0.938,0.9131
64,0,40,15,leaf,2,26.4,0.3798,0.2585,0.3643,0.938,0.9131
64,0,50,3,leaf,2,24.67,0.3632,0.2585,0.3536,0.938,0.9131
64,0,50,5,leaf,2,25.4,0.3712,0.2577,0.3541,0.938,0.9131
64,0,50,10,leaf,2,25.07,0.3815,0.2638,0.3685,0.938,0.9131
64,0,50,15,leaf,2,26.4,0.3798,0.2585,0.3643,0.938,0.9131
64,0,75,3,leaf,2,24.67,0.3632,0.2585,0.3536,0.938,0.9131
64,0,75,5,leaf,2,25.4,0.3712,0.2577,0.3541,0.938,0.9131
64,0,75,10,leaf,2,25.07,0.3815,0.2638,0.3685,0.938,0.9131
64,0,75,15,leaf,2,26.4,0.3798,0.2585,0.3643,0.938,0.9131
64,1,10,3,eom,3,14.27,0.0037,0.0115,0.0307,0.9347,0.9111
64,1,10,5,eom,7,52.0,0.095,0.2096,0.2067,0.9347,0.9111
64,1,10,10,eom,5,62.0,0.1857,0.2367,0.2383,0.9347,0.9111
64,1,10,15,eom,3,62.47,0.0533,0.2064,0.0975,0.9347,0.9111
64,1,15,3,eom,2,15.13,0.0024,0.0102,0.0125,0.9347,0.9111
64,1,15,5,eom,3,50.0,0.0136,0.1522,0.1263,0.9347,0.9111
64,1,15,10,eom,4,62.8,0.1459,0.2331,0.2075,0.9347,0.9111
64,1,15,15,eom,3,86.6,0.3543,0.0981,0.5767,0.9347,0.9111
64,1,20,3,eom,5,42.6,0.1663,0.2173,0.2558,0.9347,0.9111
64,1,20,5,eom,3,50.0,0.0136,0.1522,0.1263,0.9347,0.9111
64,1,20,10,eom,2,89.07,-0.0072,0.0079,0.0174,0.9347,0.9111
64,1,20,15,eom,3,86.6,0.3543,0.0981,0.5767,0.9347,0.9111
64,1,30,3,eom,2,46.67,0.1036,0.1837,0.1679,0.9347,0.9111
64,1,30,5,eom,2,51.87,-0.0496,0.1333,0.0429,0.9347,0.9111
