P1_capture,P1_capture_count,P1_target_class_count,legacy_presence_rate,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil,k_total,k_classes,k_noise,fragment_ratio,recipe,epoch,threshold,embedding,label,embedding_mtime_ns,method,p1_nonregress,p2_nonregress,p3_nonregress,p4_nonregress,ari_nonregress,sil_nonregress,primary_gate,core_gate
1.0,32,32,1.0,0.0,0.8641,0.9149,0.7804,0.8809,0.3769819736480713,54,32,12,1.6875,unkda_nv050_blend005,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend005_ep6.npy,NV 0.50 blend005,1783908374345594000,louvain_res6,True,True,False,True,False,False,,False
0.8125,26,32,1.0,0.0,0.8552,0.8594,0.6327,0.8478,0.3211376368999481,51,32,14,1.59375,unkda_nv050_blend006,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend006_ep6.npy,NV 0.50 blend006,1783909273538646900,finch_p2,False,True,True,False,False,True,,False
0.9375,30,32,1.0,0.0,0.8662,0.9121,0.79,0.8809,0.38460588455200195,53,32,12,1.65625,unkda_nv050_blend006,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend006_ep6.npy,NV 0.50 blend006,1783909273538646900,louvain_res6,False,True,False,True,True,True,,False
0.8438,27,32,1.0,0.0,0.8511,0.8632,0.6185,0.8468,0.3003361225128174,54,32,13,1.6875,unkda_nv050_blend007,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend007_ep6.npy,NV 0.50 blend007,1783909273602356500,finch_p2,False,True,True,False,False,False,,False
0.9688,31,32,1.0,0.0,0.8552,0.9108,0.7747,0.8736,0.3743554949760437,55,32,12,1.71875,unkda_nv050_blend007,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend007_ep6.npy,NV 0.50 blend007,1783909273602356500,louvain_res6,True,True,False,True,False,False,,False
0.8438,27,32,1.0,0.0,0.8596,0.8612,0.6142,0.8507,0.33138740062713623,52,32,12,1.625,unkda_nv050_blend008,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend008_ep6.npy,NV 0.50 blend008,1783909273668077800,finch_p2,False,True,True,False,False,True,,False
0.9688,31,32,1.0,0.0,0.8661,0.9113,0.7827,0.8805,0.387958288192749,53,32,12,1.65625,unkda_nv050_blend008,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend008_ep6.npy,NV 0.50 blend008,1783909273668077800,louvain_res6,True,True,False,True,False,True,,False
0.9062,29,32,1.0,0.0,0.8554,0.8938,0.6906,0.8651,0.3302881121635437,55,32,12,1.71875,unkda_nv050_blend009,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend009_ep6.npy,NV 0.50 blend009,1783909273724828600,finch_p2,False,True,True,True,False,True,,False
0.9688,31,32,1.0,0.0,0.8644,0.9072,0.7729,0.8774,0.3848155438899994,53,32,12,1.65625,unkda_nv050_blend009,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend009_ep6.npy,NV 0.50 blend009,1783909273724828600,louvain_res6,True,True,False,False,False,True,,False
0.9375,30,32,1.0,0.0,0.8555,0.8955,0.7077,0.8661,0.3327162563800812,57,32,14,1.78125,unkda_nv050_blend010,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend010_ep6.npy,NV 0.50 blend010,1783908374383606500,finch_p2,True,True,True,True,False,True,,False
